AwardType,Name,Project,SubjectArea,Species,2000 (FY01),2001 (FY02),2002 (FY03),2003 (FY04),2004 (FY05),2005 (FY06),2006 (FY07),2007 (FY08),2008 (FY09),2009 (FY10),2010 (FY11),2011 (FY12),2012 (FY13),2013 (FY14),2014 (FY15),2015 (FY16),2016 (FY17),2017 (FY18),2018 (FY19),2019 (FY20)
ResearchProjects,Seitz,Further examination of the movement behavior and predation of Chinook salmon in the Bering Sea,Bycatch Species,Salmon,,,,,,,,,,,,,,,,,,167180.00,45503.00,
Misc,Merritt,Instruction in Fisheries Management,NA,NA,6992.00,17750.00,,,,9053.00,,,,,,,,,,,,,,
Misc,Sugai,NOSB Western Alaska Support,NA,NA,,6625.00,,,,,,,,,,,,,,,,,,
Misc,Whitledge,Keeping Mooring 2 Alive-Biophysical,Ocean Science,Food web,,50898.00,,,,,,,,,,,,,,,,,,
Misc,Henrichs,Keeping Mooring 2 Alive-Sinking Particles,Ocean Science,Food web,,,37509.00,,,,25000.00,,,,,,,,,,,,,
Misc,Cullenberg,Western AK Tech Training,NA,NA,,,,40000.00,,,65937.00,,,,,,,,,,,,,
Misc,Kruse/Tyler,Book: Fishes Catches Science,NA,NA,,,,,22965.00,,,,,,,,,,,,,,,
Misc,Knapp,Symposium on MSFCMA Reauthorization,NA,NA,,,,,,31340.00,,,,,,,,,,,,,,
Misc,Castellini/Weisenberg,UAF-UW Seminar Exchange,NA,NA,,,,,,,,16000.00,,,,,,,,,,,,
Misc,Sutton/Rosenberger,Increasing grad experiential learning,NA,NA,,,,,,,,,56474.00,39502.00,,,,,,,,,,
Misc,Atkinson,Matt Meyers Travel Fund,NA,NA,,,,,,,,,2840.00,2840.00,2840.00,2840.00,,,,,,,,
Misc,Quinn,Workshop:Spatial Distribution Pollock,Stock dynamics,Pollock,,,,,,,,, ,55559.00,,,,,,,,,,
Misc,Atkinson,Graduate Student Support,NA,NA,,,,,,,,,,,,29992.00,,,,,,,,
Misc,Christie,Wakefield Symposium Support,NA,NA,,,,,,,,,,,,5000.00,,,,,,,,
Misc,Sigman,AK Seafood Industry K-12,Seafood Science,NA,,,,,,,,,,,,,40219.00, , , ,,,,
Misc,Criddle,Book: Pollock in a Sea of Change,Marine Resource Economics,Pollock,,,,,,,,,,,,, ,20800.00,,,,,,
GraduateFellowship,Kray Van Kirk,Multispecies age-structured assessment,Stock dynamics,Pollock,,,,,,,,,,50000.00,50000.00,,,,,,,,,
GraduateFellowship,Sarah Miller,Oceanography and salmon survival,Bycatch Species,Salmon,,,,,,,,,,50000.00,50000.00,,,,,,,,,
GraduateFellowship,Adam Zaleski,Factors influencing SSL Populations,Marine mammals,Sea lions,,,,,,,,,,,,30000.00,43500.00,,,,,,,
GraduateFellowship,Tadayasu Uchiyama,Pollock predators and competitors in the EBS,Stock dynamics,Pollock,,,,,,,,,,,,,50000.00,49083.00,,,,,,
GraduateFellowship,Julie Nielsen,Multi-scale movement of demersal fish,Bycatch Species,Halibut,,,,,,,,,,,,,,48916.00,49851.00,50872.00,,,,
GraduateFellowship,James Strong,Bioeconomic model of EBS pollock,Marine Resource Economics,Pollock,,,,,,,,,,,,,,47148.00,,,,,,
GraduateFellowship,Elizabeth Figus,Monitoring incidental catch species utilizing local fisheries knowledge,Bycatch Species,Halibut,,,,,,,,,,,,,,,49851.00,,50000.00,50000.00,,
GraduateFellowship,Cory Graham,Growth Survival and Recruitment of Chinook Salmon in SE Alaska,Bycatch Species,Salmon,,,,,,,,,,,,,,,,50000.00,25000.00,,,
GraduateFellowship,Kaitlyn Manishin,Salmon shark predation impacts on Chinook salmon production,Bycatch Species,Salmon,,,,,,,,,,,,,,,,,50000.00,50000.00,,
